elapsed_s,gpu_temp,gpu_util,gpu_mem_mb,gpu_mem_total,gpu_power_w,cpu_pct,ram_pct,ram_used_gb
325.9,59.0,24.0,13611.0,16303.0,112.46,13.4,38.7,26.48
328.0,55.0,19.0,13611.0,16303.0,100.48,12.4,38.7,26.52
330.0,57.0,24.0,13611.0,16303.0,117.24,8.9,38.5,26.36
332.1,56.0,24.0,13611.0,16303.0,110.62,11.3,38.6,26.41
334.1,59.0,42.0,13611.0,16303.0,118.65,12.2,38.7,26.52
336.2,62.0,24.0,13611.0,16303.0,105.28,8.3,38.6,26.43
338.2,55.0,24.0,13611.0,16303.0,101.37,11.6,38.7,26.52
340.3,55.0,24.0,13611.0,16303.0,105.63,9.7,38.7,26.5
342.3,55.0,24.0,13611.0,16303.0,104.84,9.3,38.5,26.34
344.4,56.0,24.0,13611.0,16303.0,104.78,9.6,38.6,26.43
346.4,55.0,24.0,13611.0,16303.0,110.81,8.6,38.5,26.34
348.5,58.0,24.0,13611.0,16303.0,104.85,11.5,38.6,26.42
350.5,59.0,24.0,13611.0,16303.0,126.42,8.2,38.5,26.34
352.6,58.0,32.0,13611.0,16303.0,112.78,14.5,38.7,26.5
354.6,55.0,22.0,13611.0,16303.0,104.11,9.2,38.7,26.49
356.7,63.0,24.0,13611.0,16303.0,126.96,8.2,38.5,26.4
358.7,56.0,24.0,13611.0,16303.0,111.42,9.7,38.7,26.53
360.8,56.0,25.0,13611.0,16303.0,117.14,9.0,38.7,26.52
362.8,56.0,24.0,13611.0,16303.0,112.8,10.1,38.6,26.45
364.9,55.0,20.0,13611.0,16303.0,102.22,10.2,38.7,26.48
366.9,57.0,24.0,13611.0,16303.0,104.81,9.0,38.7,26.51
369.0,61.0,23.0,13611.0,16303.0,104.16,9.1,38.6,26.46
371.1,61.0,23.0,13611.0,16303.0,112.99,9.7,38.7,26.5
373.1,56.0,24.0,13611.0,16303.0,104.98,12.5,38.8,26.56
375.1,56.0,25.0,13611.0,16303.0,124.57,10.0,38.6,26.46
377.2,56.0,32.0,13611.0,16303.0,114.89,8.9,38.6,26.47
379.2,59.0,23.0,13611.0,16303.0,104.12,8.4,38.7,26.49
381.3,63.0,48.0,13611.0,16303.0,122.72,7.9,38.5,26.37
383.3,63.0,24.0,13611.0,16303.0,111.39,11.7,38.7,26.5
385.4,55.0,30.0,13611.0,16303.0,111.72,8.5,38.5,26.39
387.4,61.0,24.0,13611.0,16303.0,105.12,10.4,38.7,26.49
389.5,60.0,24.0,13611.0,16303.0,104.97,10.6,38.7,26.51
391.6,56.0,24.0,13611.0,16303.0,105.12,10.4,38.7,26.48
393.6,59.0,22.0,13611.0,16303.0,103.71,8.5,38.6,26.41
395.7,56.0,24.0,13611.0,16303.0,104.96,9.6,38.6,26.4
397.7,55.0,24.0,13611.0,16303.0,100.2,11.2,38.7,26.48
399.8,55.0,18.0,949.0,16303.0,103.75,8.0,37.0,25.32
401.8,52.0,0.0,949.0,16303.0,39.99,9.5,21.2,14.53
403.9,52.0,0.0,724.0,16303.0,39.85,6.9,19.7,13.48
405.9,52.0,0.0,724.0,16303.0,39.33,4.6,19.8,13.54
408.0,51.0,0.0,724.0,16303.0,39.24,2.7,19.7,13.46
410.0,51.0,0.0,724.0,16303.0,39.14,4.6,19.7,13.52
412.1,51.0,0.0,724.0,16303.0,39.04,1.7,19.6,13.45
414.1,51.0,0.0,724.0,16303.0,38.97,2.2,19.7,13.47
416.2,50.0,0.0,724.0,16303.0,38.88,2.8,19.8,13.56
418.2,50.0,0.0,724.0,16303.0,38.9,2.1,19.7,13.48
420.3,50.0,0.0,724.0,16303.0,38.91,4.2,19.8,13.55
422.3,50.0,0.0,724.0,16303.0,38.69,3.4,19.8,13.56
424.4,50.0,0.0,724.0,16303.0,38.73,3.4,19.7,13.52
426.4,49.0,0.0,724.0,16303.0,38.67,1.2,19.6,13.45
428.5,49.0,0.0,724.0,16303.0,38.84,4.9,19.7,13.51
430.5,49.0,0.0,724.0,16303.0,38.57,3.7,19.8,13.56
432.5,49.0,0.0,724.0,16303.0,38.35,3.6,19.8,13.57
